doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source
1,07.22.25 09:30,"Life is like a book. <br> Some chapters are sad, some happy, and some exciting. <br> But if you never turn the page, you will never know what the next chapter holds.",https://i.imgur.com/opC8z6e.jpeg,,464,178,16,Rmblings,ramblingsloa,Trying to bring a smile 😊and spread some love 🥰 Find me on Instagram at ramblingloa and at rambling_quotes.,https://i.imgur.com/ssRqbtf.jpeg,311900,0,,A,1,0,https://x.com/ramblingsloa/status/1948120246315032828
2,07.22.25 09:30,Emma Carpenter,https://i.imgur.com/WhsppAK.jpeg,,61,10,3,Into The Forest Dark,ElliottBlackwe3,Curator of Wonder,https://i.imgur.com/5w5mm7Z.jpeg,103700,0,,A,2,0,https://x.com/ElliottBlackwe3/status/1948152901001695526
3,07.22.25 09:30,The most delicious fruits are those that are planted under the most adverse conditions. <br> 🤍,https://i.imgur.com/WRjspzL.jpeg,,1000,125,27,mephisto2100,mephisto2100,"Family, Dad, Art, Photography incl. ",https://i.imgur.com/XXDxoGW.jpeg,11100,0,,A,3,0,https://x.com/mephisto2102101/status/1939886255983951923
4,07.22.25 09:30,"""What I like best is staying home and reading. Being rich is not about how many homes you own. It’s the freedom to pick up any book you want without looking at the price and wondering whether you can afford it.""
John Waters",https://i.imgur.com/MwuxBqE.jpeg,,1400,282,40,PergamentG,Pergament_G,Zweig | Philosophy | Classical literature | Bibliophile,https://i.imgur.com/kJtz0Ga.jpeg,66600,0,,A,4,0,https://x.com/Pergament_F/status/1939658822345252974
5,07.22.25 09:30,"If you truly love nature, you will find beauty everywhere. <br> Vincent Van Gogh ",https://i.imgur.com/eAtUlCs.jpeg,,357,111,2,Monika,jazzy_bektas,"I'm striving to get at the beauty in the things that surround us. If this resonates with you, please follow me for more. ",https://i.imgur.com/rCiAvX6.jpeg,2833,0,,A,5,0,https://x.com/jazzy_bektas/status/1946812588286738642
6,07.22.25 09:30,"A Texas father of two, 27-year-old Julian Ryan, died while trying to save his family from the devastating floods—nearly severing his arm as he punched through a window while the water levels rose rapidly around them. His final words: “I’m sorry, I’m not going to make it. I love y’all.”",https://raw.githubusercontent.com/Sookie523/Sacred-profane/39a0aa741b807068a41f3e9699e044ccb97cb162/Texas%20Julian%20Ryan.jpg,,3000,759,156,New York Post,nypost,"Breaking news, features and more from the NY Post. ",https://i.imgur.com/sBNZqPW.jpeg,3400000,0,,A,6,0,https://x.com/nypost/status/1941734478327500970
7,07.22.25 09:30,"She waited 63 years. <br> Clara Gantt never gave up hope that her husband, U.S. Army Sgt. 1st Class Joseph Gantt, would come home. He was captured during the Korean War and declared MIA but his remains weren't identified until 2013. In her 90s, Clara stood tall as his flag draped casket was finally returned. She never remarried.",https://i.imgur.com/CYvdp69.jpeg,,220,461,113,Monica8503,monica8503,"I collect poems, stories, and forgotten histories",https://i.imgur.com/0tArIje.jpeg,20600,0,,A,7,0,https://x.com/MilitaryCooI/status/1940491170247070194
8,07.22.25 09:30,"A hearbreaking moment– a young boy tried to dig through the rubble, hoping to find his family after their home was leveled by a bomb.",https://i.imgur.com/PJw80dv.png,,360,60,54,Gavin Troyer,GavinTroyer1776,Independent journalist,https://i.imgur.com/T4GbbBJ.jpeg,78400,0,,A,8,0,
9,07.22.25 09:30,"Hot mess is the new hot.🔥 <br> Smoking🚬! Partying🤘! CARBS🍕! No showers🧼?! <br> Today’s celeb icons are DITCHING PERFECTION🤪 <br> You won’t believe what Charli XCX, Paul Mescal, and other stars are proudly owning👇 <br> 𝐂𝐥𝐢𝐜𝐤 𝐭𝐡𝐞 𝐩𝐢𝐜𝐭𝐮𝐫𝐞 𝐛𝐞𝐥𝐨𝐰 to read the full story!",https://i.imgur.com/HSyQUtb.jpeg,,183,12,4,Bustle,bustle,"Latest celebrity news, photos, videos & more!",https://i.imgur.com/DUb2HIe.jpeg,86000,1,https://www.bustle.com/wellness/celebrity-hygiene-anti-wellness-habits-charli-xcx-paul-mescal-smoking-lisa-barlow,A,9,0,https://x.com/homelifesdesign/status/1938411065852756198
10,07.22.25 09:30,Andrei Rublev (1966) / Andrei Tarkovsky,https://i.imgur.com/PbnNnjm.jpeg,,1400,282,40,cinematicfella,cinematicfella,"fond of cinema, books & photography",https://i.imgur.com/kJtz0Ga.jpeg,66600,0,,A,10,0,https://x.com/cinematicfella/status/1937529233666109762
11,07.22.25 09:30,Coffee corner…,https://i.imgur.com/4cjXrDg.jpeg,,199,26,5,Ahmet Duran Hergün,AhmetDuranHergn,"In the desert I went to, on the world map across my forehead, follow the deepest line, and you will find me...",https://i.imgur.com/jY6pfH2.jpeg,40900,0,,A,11,0,https://x.com/AhmetDuranHergn/status/1947992519213523397
12,07.22.25 09:30,"Tomoko Fuse, Japanese origami artist, considered as a renowned master in the discipline #WomensArt",https://i.imgur.com/AHDASHr.jpeg,,725,142,2,WOMENSART,womensart1,"Celebrating ♀'s art & creativity, curated by author & art historian ",https://i.imgur.com/HemG4S5.jpeg,455200,0,,A,12,0,https://x.com/womensart1/status/1947261721057304698
13,07.22.25 09:30,"Life is like a book. <br> Some chapters are sad, some happy, and some exciting. <br> But if you never turn the page, you will never know what the next chapter holds.",https://i.imgur.com/opC8z6e.jpeg,,464,178,16,Rmblings,ramblingsloa,Trying to bring a smile 😊and spread some love 🥰 Find me on Instagram at ramblingloa and at rambling_quotes.,https://i.imgur.com/ssRqbtf.jpeg,311900,0,,B,1,0,https://x.com/ramblingsloa/status/1948120246315032828
14,07.22.25 09:30,Emma Carpenter,https://i.imgur.com/WhsppAK.jpeg,,61,10,3,Into The Forest Dark,ElliottBlackwe3,Curator of Wonder,https://i.imgur.com/5w5mm7Z.jpeg,103700,0,,B,2,0,https://x.com/ElliottBlackwe3/status/1948152901001695526
15,07.22.25 09:30,"A Texas father of two, 27-year-old Julian Ryan, died while trying to save his family from the devastating floods—nearly severing his arm as he punched through a window while the water levels rose rapidly around them. His final words: “I’m sorry, I’m not going to make it. I love y’all.”",https://raw.githubusercontent.com/Sookie523/Sacred-profane/39a0aa741b807068a41f3e9699e044ccb97cb162/Texas%20Julian%20Ryan.jpg,,3000,759,156,New York Post,nypost,"Breaking news, features and more from the NY Post. ",https://i.imgur.com/sBNZqPW.jpeg,3400000,0,,B,3,0,https://x.com/nypost/status/1941734478327500970
16,07.22.25 09:30,"She waited 63 years. <br> Clara Gantt never gave up hope that her husband, U.S. Army Sgt. 1st Class Joseph Gantt, would come home. He was captured during the Korean War and declared MIA but his remains weren't identified until 2013. In her 90s, Clara stood tall at LAX as his flag draped casket was finally returned. She never remarried.",https://i.imgur.com/CYvdp69.jpeg,,220,461,113,Monica8503,monica8503,"I collect poems, stories, and forgotten histories",https://i.imgur.com/0tArIje.jpeg,20600,0,,B,4,0,https://x.com/MilitaryCooI/status/1940491170247070194
17,07.22.25 09:30,"A hearbreaking moment– a young boy tried to dig through the rubble, hoping to find his family after their home was leveled by a bomb.",https://i.imgur.com/PJw80dv.png,,360,60,54,Gavin Troyer,GavinTroyer1776,Independent journalist,https://i.imgur.com/T4GbbBJ.jpeg,78400,0,,B,5,0,
18,07.22.25 09:30,The most delicious fruits are those that are planted under the most adverse conditions. <br> 🤍,https://i.imgur.com/WRjspzL.jpeg,,1000,125,27,mephisto2100,mephisto2100,"Family, Dad, Art, Photography incl. ",https://i.imgur.com/XXDxoGW.jpeg,11100,0,,B,6,0,https://x.com/mephisto2102101/status/1939886255983951923
19,07.22.25 09:30,"""What I like best is staying home and reading. Being rich is not about how many homes you own. It’s the freedom to pick up any book you want without looking at the price and wondering whether you can afford it.""
John Waters",https://i.imgur.com/MwuxBqE.jpeg,,1400,282,40,PergamentG,Pergament_G,Zweig | Philosophy | Classical literature | Bibliophile,https://i.imgur.com/kJtz0Ga.jpeg,66600,0,,B,7,0,https://x.com/Pergament_F/status/1939658822345252974
