doc_id,datetime,indicator,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,commented_post,source
1,08.22.26 09:30,front1,Young man builds a stadium model entirely from old cardboard.,https://i.imgur.com/CrClFTL.jpeg,,11000,668,145,DaVinci,BiancoDavinci,"History, Art, Culture and Memes",https://i.imgur.com/CfA0WC5.jpeg,817000,0,,A,1,0,https://x.com/englandcottages/status/1971191869830050170
2,08.22.26 09:30,front2,"UK artist Helen Musselwhite combines hand cutting, folding and scoring paper and card to create her artworks, which are often inspired by nature ",https://i.imgur.com/W7qu4HR.jpeg,,835,148,3,#WOMENSART,womensart1,"Celebrating ♀'s art & creativity, curated by author & art historian",https://i.imgur.com/u2EDep8.jpeg,462500,0,,A,2,0,https://x.com/womensart1/status/1970065972288454834
3,08.22.26 09:30,sacred,"She waited 63 years. <br> <br> Clara Gantt never gave up hope that her husband, U.S. Army Sgt. 1st Class Joseph Gantt, would come home. He was captured during the Korean War and declared MIA but his remains weren't identified until 2013. In her 90s, Clara stood tall as his flag draped casket was finally returned. <br> <br> She never remarried.",https://i.imgur.com/CYvdp69.jpeg,,214,25,3,Monica8503,monica8503,"I collect poems, stories, and forgotten histories",https://i.imgur.com/0tArIje.jpeg,20600,0,,A,3,0,https://x.com/MilitaryCooI/status/1940491170247070194
4,08.22.26 09:30,meme,whyy😫,https://i.imgur.com/AJ72FcQ.jpeg,,300,430,17,9GAG,9GAG,Building memeland one meme at a time,https://i.imgur.com/3A1kFLR.jpeg,1610000,0,,A,4,0,https://x.com/9GAG/status/1989544144486735959?s=20
5,08.22.26 09:30,end1,"Street photography time 🗽<br> <br> No staging, no planning. Just life unfolding in real time. <br> <br> Here’s mine captured on the streets of Osaka.",https://i.imgur.com/TjHWc8G.jpeg,,317,30,159,Jocaccia,jjmmli,"Collecting beauty, sharing freely.",https://i.imgur.com/uoJtcB3.jpeg,5439,0,,A,5,0,
6,08.22.26 09:30,end2,"""What I like best is staying home and reading."" John Waters",https://i.imgur.com/MwuxBqE.jpeg,,1400,282,40,PergamentG,Pergament_G,Zweig | Philosophy | Classical literature | Bibliophile,https://i.imgur.com/kJtz0Ga.jpeg,66600,0,,A,6,0,
7,08.22.26 09:30,front1,Young man builds a stadium model entirely from old cardboard.,https://i.imgur.com/CrClFTL.jpeg,,11000,668,145,DaVinci,BiancoDavinci,"History, Art, Culture and Memes",https://i.imgur.com/CfA0WC5.jpeg,817000,0,,B,1,0,
8,08.22.26 09:30,front2,"UK artist Helen Musselwhite combines hand cutting, folding and scoring paper and card to create her artworks, which are often inspired by nature ",https://i.imgur.com/W7qu4HR.jpeg,,835,148,3,#WOMENSART,womensart1,"Celebrating ♀'s art & creativity, curated by author & art historian",https://i.imgur.com/u2EDep8.jpeg,462500,0,,B,2,0,
9,08.22.26 09:30,control,"She waited 63 years.<br> <br> After the Distant Shore by Eleanor Gray is a historical fiction novel that follows the story of Clara, a woman who never gave up hope that her husband, Joseph, would come home. He was captured during the Korean War and declared MIA, but his remains weren’t identified until 2013. In her 90s, Clara stood tall as his flag draped casket was finally returned. <br> <br> She never remarried.",https://i.imgur.com/tlh3Stq.jpeg,,214,25,3,Monica8503,monica8503,"I collect poems, stories, and forgotten histories",https://i.imgur.com/0tArIje.jpeg,20600,0,,B,3,0,
10,08.22.26 09:30,meme,whyy😫,https://i.imgur.com/AJ72FcQ.jpeg,,300,430,17,9GAG,9GAG,Building memeland one meme at a time,https://i.imgur.com/3A1kFLR.jpeg,1610000,0,,B,4,0,
11,08.22.26 09:30,end1,"Street photography time 🗽<br> <br> No staging, no planning. Just life unfolding in real time. <br> <br> Here’s mine captured on the streets of Osaka.",https://i.imgur.com/TjHWc8G.jpeg,,317,30,159,Jocaccia,jjmmli,"Collecting beauty, sharing freely.",https://i.imgur.com/uoJtcB3.jpeg,5439,0,,B,5,0,
12,08.22.26 09:30,end2,"""What I like best is staying home and reading."" John Waters",https://i.imgur.com/MwuxBqE.jpeg,,1400,282,40,PergamentG,Pergament_G,Zweig | Philosophy | Classical literature | Bibliophile,https://i.imgur.com/kJtz0Ga.jpeg,66600,0,,B,6,0,
